episode,score,epsilon
309,-246.54610509723642,0.01
310,-160.22397165907256,0.01
311,-124.0423854531333,0.01
312,-205.2777728376017,0.01
313,-207.612321022739,0.01
314,-227.30329148788624,0.01
315,-143.30498392041468,0.01
316,-291.8542909578259,0.01
317,-198.60639553733756,0.01
318,-115.52864133565372,0.01
319,-173.93972874554083,0.01
320,-148.51388499191012,0.01
321,-133.09202545254215,0.01
322,-123.23177621908285,0.01
323,-399.9056311029057,0.01
324,-203.14059304858418,0.01
325,-156.16817295445477,0.01
326,-253.5496357718295,0.01
327,-240.92482245714191,0.01
328,-146.32999263380736,0.01
329,-189.40085881501787,0.01
330,-108.32166408740122,0.01
331,-102.96604756628537,0.01
332,-218.79513025297695,0.01
333,-157.0224735917824,0.01
334,-144.62070730551517,0.01
335,-220.72439623481364,0.01
336,-133.42889655119552,0.01
337,-138.98831947959917,0.01
338,-129.61686554297503,0.01
339,-235.70321839713165,0.01
340,-162.25625180225956,0.01
341,-159.7201987603098,0.01
342,-385.22964651652455,0.01
343,-225.2082785253516,0.01
344,-204.99436007716434,0.01
345,-231.33427557702367,0.01
346,-361.9479667546844,0.01
347,-232.3260746735786,0.01
348,-171.88660064827252,0.01
349,-152.49729490794113,0.01
350,-184.63431106957057,0.01
351,-189.8541268328217,0.01
352,-174.20548207961707,0.01
353,-194.58534828173526,0.01
354,-190.10137108849327,0.01
355,-267.4087563735606,0.01
356,-139.97104604179145,0.01
357,-236.57952778495428,0.01
358,-119.40418571551265,0.01
359,-156.93870286800643,0.01
360,-200.16443297203412,0.01
361,-218.20408748481535,0.01
362,-131.13374488650192,0.01
363,-174.30820115603842,0.01
364,-123.27450186943261,0.01
365,-119.28824258726567,0.01
366,-134.7042642655917,0.01
367,-183.75129768001517,0.01
368,-180.76269861766008,0.01
369,-324.7972049998235,0.01
370,-122.89485582540614,0.01
371,-238.89780404724206,0.01
372,-264.56709375355877,0.01
373,-336.556098708483,0.01
374,-116.15830974730515,0.01
375,-180.95401439929182,0.01
376,-196.79916846201345,0.01
377,-269.7516528892289,0.01
378,-162.66378442049682,0.01
379,-139.19032539406714,0.01
380,-632.1065826725301,0.01
381,-95.04603910396669,0.01
382,-315.5801015270488,0.01
383,-155.2881668210223,0.01
384,-406.44721079575214,0.01
385,-198.63061025870314,0.01
386,-172.70540122956274,0.01
387,-136.21336861246954,0.01
388,-114.47495779995762,0.01
389,-118.64987540351807,0.01
390,-319.22215183425743,0.01
391,-125.47385289575715,0.01
392,-300.4224511542126,0.01
393,-175.37591302696677,0.01
394,-204.1962411423171,0.01
395,-222.86080939736863,0.01
396,-126.05666106462117,0.01
397,-165.2221654470119,0.01
398,-225.0060346053372,0.01
